GeneID	GeneSymbol	TranscriptID	UniProtMatch	InGencodeV34
ENSG00000124762	CDKN1A	ENST00000405375	P38936	TRUE
ENSG00000111276	CDKN1B	ENST00000228872	P46527	TRUE
ENSG00000147889	CDKN2A	ENST00000498124	P42771	TRUE
ENSG00000147883	CDKN2B	ENST00000276925	P42772	TRUE
ENSG00000123080	CDKN2C	ENST00000262662	P42773	TRUE
ENSG00000245848	CEBPA	ENST00000498907	P49715	TRUE
ENSG00000115163	CENPA	ENST00000335756	P49450	TRUE
ENSG00000149554	CHEK1	ENST00000427383	E7EPP6	TRUE
ENSG00000183765	CHEK2	ENST00000382580	O96017	TRUE
ENSG00000079432	CIC	ENST00000575354	Q96RK0	TRUE
ENSG00000005339	CREBBP	ENST00000262367	Q92793	TRUE
ENSG00000099942	CRKL	ENST00000354336	P46109	TRUE
ENSG00000205755	CRLF2	ENST00000381566	Q9HC73	TRUE
ENSG00000009307	CSDE1	ENST00000610726	O75534	TRUE
ENSG00000182578	CSF1R	ENST00000286301	P07333	TRUE
ENSG00000119535	CSF3R	ENST00000373103	Q99062	TRUE
ENSG00000102974	CTCF	ENST00000646076	P49711	TRUE
ENSG00000163599	CTLA4	ENST00000648405	P16410	TRUE
ENSG00000168036	CTNNB1	ENST00000645320	P35222	TRUE
ENSG00000036257	CUL3	ENST00000264414	Q13618	TRUE
ENSG00000121966	CXCR4	ENST00000409817	P61073	TRUE
ENSG00000083799	CYLD	ENST00000427738	Q9NQC7	TRUE
ENSG00000152207	CYSLTR2	ENST00000282018	Q9NS75	TRUE
ENSG00000204209	DAXX	ENST00000266000	Q9UER7	TRUE
ENSG00000043093	DCUN1D1	ENST00000292782	Q96GG9	TRUE
ENSG00000162733	DDR2	ENST00000367922	Q16832	TRUE
ENSG00000100697	DICER1	ENST00000526495	Q9UPY3	TRUE
ENSG00000083520	DIS3	ENST00000377767	Q9Y2L1	TRUE
ENSG00000132002	DNAJB1	ENST00000254322	P25685	TRUE
ENSG00000130816	DNMT1	ENST00000359526	P26358	TRUE
ENSG00000119772	DNMT3A	ENST00000264709	Q9Y6K1	TRUE
ENSG00000088305	DNMT3B	ENST00000328111	Q9UBC3	TRUE
ENSG00000104885	DOT1L	ENST00000398665	Q8TEK3	TRUE
ENSG00000113360	DROSHA	ENST00000511367	Q9NRR4	TRUE
ENSG00000120875	DUSP4	ENST00000240100	Q13115	TRUE
ENSG00000112242	E2F3	ENST00000346618	O00716	TRUE
ENSG00000074266	EED	ENST00000351625	O75530	TRUE
ENSG00000172889	EGFL7	ENST00000371699	Q9UHF1	TRUE
ENSG00000146648	EGFR	ENST00000275493	P00533	TRUE
ENSG00000173674	EIF1AX	ENST00000379607	P47813	TRUE
ENSG00000156976	EIF4A2	ENST00000323963	Q14240	TRUE
ENSG00000151247	EIF4E	ENST00000505992	P06730	TRUE
ENSG00000163435	ELF3	ENST00000359651	P78545	TRUE
ENSG00000100393	EP300	ENST00000263253	Q09472	TRUE
ENSG00000116016	EPAS1	ENST00000263734	Q99814	TRUE
ENSG00000119888	EPCAM	ENST00000263735	P16422	TRUE
ENSG00000044524	EPHA3	ENST00000336596	P29320	TRUE
ENSG00000145242	EPHA5	ENST00000622150	B7ZKJ3	TRUE
ENSG00000135333	EPHA7	ENST00000369303	Q15375	TRUE
ENSG00000154928	EPHB1	ENST00000398015	P54762	TRUE
ENSG00000141736	ERBB2	ENST00000269571	P04626	TRUE
ENSG00000065361	ERBB3	ENST00000267101	P21860	TRUE
ENSG00000178568	ERBB4	ENST00000342788	Q15303	TRUE
ENSG00000104884	ERCC2	ENST00000391945	P18074	TRUE
ENSG00000163161	ERCC3	ENST00000285398	P19447	TRUE
ENSG00000175595	ERCC4	ENST00000311895	Q92889	TRUE
ENSG00000134899	ERCC5	ENST00000652225	P28715	TRUE
ENSG00000105722	ERF	ENST00000222329	P50548	TRUE
ENSG00000157554	ERG	ENST00000417133	P11308	TRUE
ENSG00000116285	ERRFI1	ENST00000377482	Q9UJM3	TRUE
ENSG00000091831	ESR1	ENST00000440973	P03372	TRUE
ENSG00000006468	ETV1	ENST00000430479	P50549	TRUE
ENSG00000139083	ETV6	ENST00000396373	P41212	TRUE
ENSG00000108799	EZH1	ENST00000428826	Q92800	TRUE
ENSG00000106462	EZH2	ENST00000320356	Q15910	TRUE
ENSG00000184675	AMER1	ENST00000374869	Q5JTC6	TRUE
ENSG00000163322	ABRAXAS1	ENST00000321945	Q6UWZ7	TRUE
ENSG00000183508	TENT5C	ENST00000369448	Q5VWP2	TRUE
ENSG00000262919	CCNQ	ENST00000440428	Q8N1B3	TRUE
ENSG00000187741	FANCA	ENST00000389301	O15360	TRUE
ENSG00000158169	FANCC	ENST00000289081	Q00597	TRUE
ENSG00000083857	FAT1	ENST00000441802	Q14517	TRUE
ENSG00000109670	FBXW7	ENST00000603548	Q969H0	TRUE
ENSG00000162344	FGF19	ENST00000294312	O95750	TRUE
ENSG00000186895	FGF3	ENST00000334134	P11487	TRUE
ENSG00000075388	FGF4	ENST00000168712	P08620	TRUE
ENSG00000077782	FGFR1	ENST00000425967	P11362	TRUE
ENSG00000066468	FGFR2	ENST00000457416	P21802	TRUE
ENSG00000068078	FGFR3	ENST00000340107	P22607	TRUE
ENSG00000160867	FGFR4	ENST00000292408	P22455	TRUE
ENSG00000091483	FH	ENST00000366560	P07954	TRUE
ENSG00000154803	FLCN	ENST00000285071	Q8NFG4	TRUE
ENSG00000102755	FLT1	ENST00000282397	P17948	TRUE
ENSG00000122025	FLT3	ENST00000241453	P36888	TRUE
ENSG00000037280	FLT4	ENST00000261937	P35916	TRUE
ENSG00000129514	FOXA1	ENST00000250448	P55317	TRUE
ENSG00000183770	FOXL2	ENST00000648323	P58012	TRUE
ENSG00000150907	FOXO1	ENST00000379561	Q12778	TRUE
ENSG00000114861	FOXP1	ENST00000615603	Q9H334	TRUE
ENSG00000162613	FUBP1	ENST00000370768	Q96AE4	TRUE
ENSG00000010810	FYN	ENST00000354650	P06241	TRUE
ENSG00000102145	GATA1	ENST00000376670	P15976	TRUE
ENSG00000179348	GATA2	ENST00000341105	P23769	TRUE
ENSG00000107485	GATA3	ENST00000379328	P23771	TRUE
ENSG00000111087	GLI1	ENST00000228682	P08151	TRUE
ENSG00000088256	GNA11	ENST00000078429	P29992	TRUE
ENSG00000156052	GNAQ	ENST00000286548	P50148	TRUE
ENSG00000087460	GNAS	ENST00000371100	Q5JWF2	TRUE
ENSG00000132522	GPS2	ENST00000389167	Q13227	TRUE
ENSG00000166923	GREM1	ENST00000651154	O60565	TRUE
ENSG00000183454	GRIN2A	ENST00000330684	Q12879	TRUE
ENSG00000082701	GSK3B	ENST00000316626	P49841	TRUE
ENSG00000163041	H3-3A	ENST00000366815	P84243	TRUE
ENSG00000132475	H3-3B	ENST00000254810	P84243	TRUE
ENSG00000188375	H3-5	ENST00000340398	Q6NXT2	TRUE
ENSG00000019991	HGF	ENST00000222390	P14210	TRUE
ENSG00000187837	H1-2	ENST00000343677	P16403	TRUE
ENSG00000158373	H2BC5	ENST00000289316	P58876	TRUE
ENSG00000275714	H3C1	ENST00000613854	P68431	TRUE
ENSG00000286522	H3C2	ENST00000621411	P68431	TRUE
ENSG00000287080	H3C3	ENST00000612966	P68431	TRUE
ENSG00000197409	H3C4	ENST00000356476	P68431	TRUE
ENSG00000274750	H3C6	ENST00000634733	P68431	TRUE
ENSG00000277775	H3C7	ENST00000618052	P68431	TRUE
ENSG00000273983	H3C8	ENST00000614378	P68431	TRUE
ENSG00000278828	H3C10	ENST00000369163	P68431	TRUE
ENSG00000275379	H3C11	ENST00000616365	P68431	TRUE
ENSG00000197153	H3C12	ENST00000359303	P68431	TRUE
ENSG00000203811	H3C14	ENST00000369158	Q71DI3	TRUE
ENSG00000183598	H3C13	ENST00000331491	Q71DI3	TRUE
ENSG00000168148	H3-4	ENST00000366696	Q16695	TRUE
ENSG00000206503	HLA-A	ENST00000396634	P04439	TRUE
ENSG00000234745	HLA-B	ENST00000412585	P01889	TRUE
ENSG00000135100	HNF1A	ENST00000544413	F5H0K0	TRUE
ENSG00000159184	HOXB13	ENST00000290295	Q92826	TRUE
ENSG00000174775	HRAS	ENST00000451590	P01112	TRUE
ENSG00000160223	ICOSLG	ENST00000344330	O75144	TRUE
ENSG00000117318	ID3	ENST00000374561	Q02535	TRUE
ENSG00000138413	IDH1	ENST00000415913	O75874	TRUE
ENSG00000182054	IDH2	ENST00000330062	P48735	TRUE
ENSG00000027697	IFNGR1	ENST00000367739	P15260	TRUE
ENSG00000017427	IGF1	ENST00000392904	P05019	TRUE
ENSG00000140443	IGF1R	ENST00000650285	P08069	TRUE
ENSG00000167244	IGF2	ENST00000434045	P01344	TRUE
ENSG00000263528	IKBKE	ENST00000581977	Q14164	TRUE
ENSG00000185811	IKZF1	ENST00000331340	Q13422	TRUE
ENSG00000136634	IL10	ENST00000423557	P22301	TRUE
ENSG00000168685	IL7R	ENST00000303115	P16871	TRUE
ENSG00000123999	INHA	ENST00000243786	P05111	TRUE
ENSG00000122641	INHBA	ENST00000242208	P08476	TRUE
ENSG00000040933	INPP4A	ENST00000074304	Q96PE3	TRUE
ENSG00000109452	INPP4B	ENST00000509777	E7EQN9	TRUE
ENSG00000165458	INPPL1	ENST00000298229	O15357	TRUE
ENSG00000171105	INSR	ENST00000302850	P06213	TRUE
ENSG00000137265	IRF4	ENST00000380956	Q15306	TRUE
ENSG00000169047	IRS1	ENST00000305123	P35568	TRUE
ENSG00000185950	IRS2	ENST00000375856	Q9Y4H2	TRUE
ENSG00000162434	JAK1	ENST00000672434		TRUE
ENSG00000096968	JAK2	ENST00000381652	O60674	TRUE
ENSG00000105639	JAK3	ENST00000527670	P52333	TRUE
ENSG00000177606	JUN	ENST00000371222	P05412	TRUE
ENSG00000073614	KDM5A	ENST00000399788	P29375	TRUE
ENSG00000126012	KDM5C	ENST00000375401	P41229	TRUE
ENSG00000147050	KDM6A	ENST00000377967	O15550	TRUE
ENSG00000128052	KDR	ENST00000263923	P35968	TRUE
ENSG00000079999	KEAP1	ENST00000393623	Q14145	TRUE
ENSG00000157404	KIT	ENST00000288135	P10721	TRUE
ENSG00000136826	KLF4	ENST00000374672	O43474	TRUE
ENSG00000272333	KMT2B	ENST00000420124	Q9UMN6	TRUE
ENSG00000183955	KMT5A	ENST00000402868	Q9NQR1	TRUE
ENSG00000128944	KNSTRN	ENST00000249776	Q9Y448	TRUE
ENSG00000133703	KRAS	ENST00000256078	P01116	TRUE
ENSG00000131023	LATS1	ENST00000543571	O95835	TRUE
ENSG00000150457	LATS2	ENST00000382592	Q9NRM7	TRUE
ENSG00000166407	LMO1	ENST00000335790	P25800	TRUE
ENSG00000254087	LYN	ENST00000519728	P07948	TRUE
ENSG00000172175	MALT1	ENST00000649217	Q9UDY8	TRUE
ENSG00000169032	MAP2K1	ENST00000307102	Q02750	TRUE
ENSG00000126934	MAP2K2	ENST00000262948	P36507	TRUE
ENSG00000065559	MAP2K4	ENST00000415385	P45985	TRUE
ENSG00000095015	MAP3K1	ENST00000399503	Q13233	TRUE
ENSG00000073803	MAP3K13	ENST00000265026	O43283	TRUE
ENSG00000006062	MAP3K14	ENST00000376926	Q99558	TRUE
ENSG00000100030	MAPK1	ENST00000215832	P28482	TRUE
ENSG00000102882	MAPK3	ENST00000263025	P27361	TRUE
ENSG00000119487	MAPKAP1	ENST00000265960	Q9BPZ7	TRUE
ENSG00000125952	MAX	ENST00000358664	P61244	TRUE
ENSG00000143384	MCL1	ENST00000369026	Q07820	TRUE
ENSG00000137337	MDC1	ENST00000376406	Q14676	TRUE
ENSG00000135679	MDM2	ENST00000258149	Q00987	TRUE
ENSG00000198625	MDM4	ENST00000367182	O15151	TRUE
ENSG00000184634	MED12	ENST00000374080	Q93074	TRUE
ENSG00000213999	MEF2B	ENST00000424583	Q02080	TRUE
ENSG00000133895	MEN1	ENST00000337652	O00255	TRUE
ENSG00000105976	MET	ENST00000318493	P08581	TRUE
ENSG00000174197	MGA	ENST00000219905	Q8IWI9	TRUE
ENSG00000187098	MITF	ENST00000448226	O75030	TRUE
ENSG00000076242	MLH1	ENST00000231790	P40692	TRUE
ENSG00000118058	KMT2A	ENST00000534358	Q03164	TRUE
ENSG00000167548	KMT2D	ENST00000301067	O14686	TRUE
ENSG00000055609	KMT2C	ENST00000262189	Q8NEZ4	TRUE
ENSG00000117400	MPL	ENST00000372470	P40238	TRUE
ENSG00000020922	MRE11	ENST00000323929	P49959	TRUE
ENSG00000095002	MSH2	ENST00000233146	P43246	TRUE
ENSG00000113318	MSH3	ENST00000265081	P20585	TRUE
ENSG00000116062	MSH6	ENST00000234420	P52701	TRUE
ENSG00000135097	MSI1	ENST00000257552	O43347	TRUE
ENSG00000153944	MSI2	ENST00000284073	Q96DH6	TRUE
ENSG00000173531	MST1	ENST00000449682	G3XAK1	TRUE
ENSG00000164078	MST1R	ENST00000296474	Q04912	TRUE
ENSG00000198793	MTOR	ENST00000361445	P42345	TRUE
ENSG00000132781	MUTYH	ENST00000672818	E5KP26	TRUE
ENSG00000136997	MYC	ENST00000621592	A0A087WUS5	TRUE
ENSG00000116990	MYCL	ENST00000397332	P12524	TRUE
ENSG00000134323	MYCN	ENST00000281043	P04198	TRUE
ENSG00000172936	MYD88	ENST00000652534	H0Y4G9	TRUE
ENSG00000129152	MYOD1	ENST00000250003	P15172	TRUE
ENSG00000104320	NBN	ENST00000265433	O60934	TRUE
ENSG00000124151	NCOA3	ENST00000371998	Q9Y6Q9	TRUE
ENSG00000141027	NCOR1	ENST00000268712	O75376	TRUE
ENSG00000172260	NEGR1	ENST00000357731	Q7Z3B1	TRUE
ENSG00000196712	NF1	ENST00000358273	P21359	TRUE
ENSG00000186575	NF2	ENST00000338641	P35240	TRUE
ENSG00000116044	NFE2L2	ENST00000397062	Q16236	TRUE
ENSG00000100906	NFKBIA	ENST00000216797	P25963	TRUE
ENSG00000136352	NKX2-1	ENST00000354822	P43699	TRUE
ENSG00000167034	NKX3-1	ENST00000380871	Q99801	TRUE
ENSG00000148400	NOTCH1	ENST00000651671	P46531	TRUE
ENSG00000134250	NOTCH2	ENST00000256646	Q04721	TRUE
ENSG00000074181	NOTCH3	ENST00000263388	Q9UM47	TRUE
ENSG00000204301	NOTCH4	ENST00000375023	Q99466	TRUE
ENSG00000181163	NPM1	ENST00000296930	P06748	TRUE
ENSG00000213281	NRAS	ENST00000369535	P01111	TRUE
ENSG00000165671	NSD1	ENST00000439151	Q96L73	TRUE
ENSG00000065057	NTHL1	ENST00000219066	P78549	TRUE
ENSG00000198400	NTRK1	ENST00000524377	P04629	TRUE
ENSG00000148053	NTRK2	ENST00000277120	Q16620	TRUE
ENSG00000140538	NTRK3	ENST00000360948	Q16288	TRUE
ENSG00000143228	NUF2	ENST00000271452	Q9BZD4	TRUE
ENSG00000102900	NUP93	ENST00000308159	Q8N1F7	TRUE
ENSG00000149269	PAK1	ENST00000278568	Q13153	TRUE
ENSG00000101349	PAK5	ENST00000378429	Q9P286	TRUE
ENSG00000083093	PALB2	ENST00000261584	Q86YC2	TRUE
ENSG00000185345	PRKN	ENST00000366898	O60260	TRUE
ENSG00000143799	PARP1	ENST00000366794	P09874	TRUE
ENSG00000196092	PAX5	ENST00000358127	Q02548	TRUE
ENSG00000163939	PBRM1	ENST00000409057	Q86U86	TRUE
ENSG00000188389	PDCD1	ENST00000334409	Q15116	TRUE
ENSG00000197646	PDCD1LG2	ENST00000397747	Q9BQ51	TRUE
ENSG00000134853	PDGFRA	ENST00000257290	P16234	TRUE
ENSG00000113721	PDGFRB	ENST00000261799	P09619	TRUE
ENSG00000140992	PDPK1	ENST00000342085	O15530	TRUE
ENSG00000082175	PGR	ENST00000325455	P06401	TRUE
ENSG00000109132	PHOX2B	ENST00000226382	Q99453	TRUE
ENSG00000139144	PIK3C2G	ENST00000538779	F5H369	TRUE
ENSG00000078142	PIK3C3	ENST00000262039	Q8NEB9	TRUE
ENSG00000121879	PIK3CA	ENST00000263967	P42336	TRUE
ENSG00000051382	PIK3CB	ENST00000674063		TRUE
ENSG00000171608	PIK3CD	ENST00000377346	O00329	TRUE
ENSG00000105851	PIK3CG	ENST00000496166	P48736	TRUE
ENSG00000145675	PIK3R1	ENST00000521381	P27986	TRUE
ENSG00000105647	PIK3R2	ENST00000222254	O00459	TRUE
ENSG00000117461	PIK3R3	ENST00000262741	Q92569	TRUE
ENSG00000137193	PIM1	ENST00000373509	P11309	TRUE
ENSG00000197943	PLCG2	ENST00000564138	P16885	TRUE
ENSG00000145632	PLK2	ENST00000274289	Q9NYY3	TRUE
ENSG00000141682	PMAIP1	ENST00000316660	Q13794	TRUE
ENSG00000064933	PMS1	ENST00000441310	P54277	TRUE
ENSG00000122512	PMS2	ENST00000265849	P54278	TRUE
ENSG00000146278	PNRC1	ENST00000336032	Q12796	TRUE
ENSG00000062822	POLD1	ENST00000595904	M0R2B7	TRUE
ENSG00000177084	POLE	ENST00000320574	Q07864	TRUE
ENSG00000132170	PPARG	ENST00000287820	P37231	TRUE
ENSG00000170836	PPM1D	ENST00000305921	O15297	TRUE
ENSG00000105568	PPP2R1A	ENST00000322088	P30153	TRUE
ENSG00000163605	PPP4R2	ENST00000356692	Q9NY27	TRUE
ENSG00000119414	PPP6C	ENST00000451402	O00743	TRUE
ENSG00000057657	PRDM1	ENST00000369096	O75626	TRUE
ENSG00000147596	PRDM14	ENST00000276594	Q9GZV8	TRUE
ENSG00000046889	PREX2	ENST00000288368	Q70Z35	TRUE
ENSG00000108946	PRKAR1A	ENST00000392711	P10644	TRUE
ENSG00000163558	PRKCI	ENST00000295797	P41743	TRUE
ENSG00000184304	PRKD1	ENST00000415220	F8WBA3	TRUE
ENSG00000185920	PTCH1	ENST00000331920	Q13635	TRUE
ENSG00000171862	PTEN	ENST00000371953	P60484	TRUE
ENSG00000112245	PTP4A1	ENST00000648894	Q93096	TRUE
ENSG00000179295	PTPN11	ENST00000635625	Q06124	TRUE
ENSG00000153707	PTPRD	ENST00000381196	P23468	TRUE
ENSG00000105426	PTPRS	ENST00000587303	Q13332	TRUE
ENSG00000196090	PTPRT	ENST00000373198	A0A075B6H0	TRUE
ENSG00000111737	RAB35	ENST00000229340	Q15286	TRUE
ENSG00000136238	RAC1	ENST00000356142	P63000	TRUE
ENSG00000128340	RAC2	ENST00000249071	P15153	TRUE
ENSG00000164754	RAD21	ENST00000297338	O60216	TRUE
ENSG00000113522	RAD50	ENST00000378823	Q92878	TRUE
ENSG00000051180	RAD51	ENST00000645673	Q06609	TRUE
ENSG00000108384	RAD51C	ENST00000337432	O43502	TRUE
ENSG00000182185	RAD51B	ENST00000487861	C9JYJ0	TRUE
ENSG00000185379	RAD51D	ENST00000590016	O75771	TRUE
ENSG00000002016	RAD52	ENST00000358495	P43351	TRUE
ENSG00000085999	RAD54L	ENST00000371975	Q92698	TRUE
ENSG00000132155	RAF1	ENST00000442415	P04049	TRUE
ENSG00000131759	RARA	ENST00000254066	P10276	TRUE
ENSG00000145715	RASA1	ENST00000274376	P20936	TRUE
ENSG00000139687	RB1	ENST00000267163	P06400	TRUE
ENSG00000182872	RBM10	ENST00000329236	P98175	TRUE
ENSG00000004700	RECQL	ENST00000444129	P46063	TRUE
ENSG00000160957	RECQL4	ENST00000617875	O94761	TRUE
ENSG00000162924	REL	ENST00000295025	Q04864	TRUE
ENSG00000165731	RET	ENST00000355710	P07949	TRUE
ENSG00000143207	COP1	ENST00000367669	Q8NHY2	TRUE
ENSG00000106615	RHEB	ENST00000262187	Q15382	TRUE
ENSG00000067560	RHOA	ENST00000418115	P61586	TRUE
ENSG00000164327	RICTOR	ENST00000296782	Q6R327	TRUE
ENSG00000143622	RIT1	ENST00000368322	Q92963	TRUE
ENSG00000108375	RNF43	ENST00000584437	Q68DV7	TRUE
ENSG00000047936	ROS1	ENST00000368508	P08922	TRUE
ENSG00000162302	RPS6KA4	ENST00000334205	O75676	TRUE
ENSG00000175634	RPS6KB2	ENST00000312629	Q9UBS0	TRUE
ENSG00000141564	RPTOR	ENST00000306801	Q8N122	TRUE
ENSG00000116954	RRAGC	ENST00000373001	Q9HB90	TRUE
ENSG00000126458	RRAS	ENST00000246792	P10301	TRUE
ENSG00000133818	RRAS2	ENST00000256196	P62070	TRUE
ENSG00000258366	RTEL1	ENST00000360203	Q9NZ71	TRUE
ENSG00000159216	RUNX1	ENST00000300305	Q01196	TRUE
ENSG00000186350	RXRA	ENST00000481739	P19793	TRUE
ENSG00000163602	RYBP	ENST00000477973	Q8N488	TRUE
ENSG00000073578	SDHA	ENST00000264932	P31040	TRUE
ENSG00000167985	SDHAF2	ENST00000301761	Q9NX18	TRUE
ENSG00000117118	SDHB	ENST00000375499	P21912	TRUE
ENSG00000143252	SDHC	ENST00000367975	Q99643	TRUE
ENSG00000204370	SDHD	ENST00000375549	O14521	TRUE
ENSG00000080546	SESN1	ENST00000436639	Q9Y6P5	TRUE
ENSG00000130766	SESN2	ENST00000253063	P58004	TRUE
ENSG00000149212	SESN3	ENST00000536441	P58005	TRUE
ENSG00000181555	SETD2	ENST00000409792	Q9BYW2	TRUE
ENSG00000115524	SF3B1	ENST00000335508	O75533	TRUE
ENSG00000111252	SH2B3	ENST00000341259	Q9UQQ2	TRUE
ENSG00000183918	SH2D1A	ENST00000371139	O60880	TRUE
ENSG00000108061	SHOC2	ENST00000369452	Q9UQ13	TRUE
ENSG00000144736	SHQ1	ENST00000325599	Q6PI26	TRUE
ENSG00000188827	SLX4	ENST00000294008	Q8IY92	TRUE
ENSG00000175387	SMAD2	ENST00000262160	Q15796	TRUE
ENSG00000166949	SMAD3	ENST00000327367	P84022	TRUE
ENSG00000141646	SMAD4	ENST00000342988	Q13485	TRUE
ENSG00000127616	SMARCA4	ENST00000344626	P51532	TRUE
ENSG00000099956	SMARCB1	ENST00000344921	G5E975	TRUE
ENSG00000066117	SMARCD1	ENST00000394963	Q96GM5	TRUE
ENSG00000128602	SMO	ENST00000249373	Q99835	TRUE
ENSG00000185420	SMYD3	ENST00000490107	Q9H7B4	TRUE
ENSG00000185338	SOCS1	ENST00000644787	O15524	TRUE
ENSG00000115904	SOS1	ENST00000402219	Q07889	TRUE
ENSG00000164736	SOX17	ENST00000297316	Q9H6I2	TRUE
ENSG00000181449	SOX2	ENST00000325404	P48431	TRUE
ENSG00000125398	SOX9	ENST00000245479	P48436	TRUE
ENSG00000065526	SPEN	ENST00000375759	Q96T58	TRUE
ENSG00000121067	SPOP	ENST00000393328	O43791	TRUE
ENSG00000166068	SPRED1	ENST00000299084	Q7Z699	TRUE
ENSG00000197122	SRC	ENST00000373578	P12931	TRUE
ENSG00000161547	SRSF2	ENST00000392485	Q01130	TRUE
ENSG00000101972	STAG2	ENST00000218089	Q8N3U4	TRUE
ENSG00000168610	STAT3	ENST00000264657	P40763	TRUE
ENSG00000126561	STAT5A	ENST00000345506	P42229	TRUE
ENSG00000173757	STAT5B	ENST00000293328	P51692	TRUE
ENSG00000118046	STK11	ENST00000326873	Q15831	TRUE
ENSG00000204344	STK19	ENST00000375333	P49842	TRUE
ENSG00000196182	STK40	ENST00000373130	Q8N2I9	TRUE
ENSG00000107882	SUFU	ENST00000369902	Q9UMX1	TRUE
ENSG00000178691	SUZ12	ENST00000322652	Q15022	TRUE
ENSG00000165025	SYK	ENST00000375746	P43405	TRUE
